DepCity,ArrCity,CarbonEmissioninKg
DUD,WLG,152.944
NPE,WLG,65.582
WLG,NPE,65.582
NPE,WLG,65.582
WLG,NPE,65.582
AKL,WLG,116.402
AKL,WLG,116.402
AKL,WLG,116.402
AKL,PMR,90.992
AKL,WLG,116.402
AKL,ROT,43.802
NPE,AKL,79.376
AKL,NPE,79.376
AKL,PMR,90.992
AKL,WAG,80.102
AKL,PMR,90.992
NPE,AKL,79.376
CHC,WLG,73.81
AKL,WLG,116.402
WLG,AKL,116.402
WLG,AKL,116.402
WLG,AKL,116.402
ROT,AKL,43.802
AKL,WLG,116.402
WLG,CHC,73.81
WLG,AKL,116.402
AKL,CHC,180.532
AKL,WLG,116.402
AKL,WLG,116.402
ROT,WLG,90.508
PMR,AKL,90.992
WLG,NPE,65.582
NPE,AKL,79.376
AKL,CHC,180.532
AKL,WLG,116.402
PMR,AKL,90.992
WLG,AKL,116.402
IVC,WLG,186.34
CHC,AKL,180.532
WRE,AKL,34.848
NPE,WLG,65.582
AKL,PMR,90.992
AKL,NPE,79.376
AKL,WLG,116.402
AKL,WLG,116.402
AKL,NPE,79.376
AKL,WLG,116.402
WLG,AKL,116.402
AKL,PMR,90.992
WLG,AKL,116.402
CHC,AKL,180.532
AKL,CHC,180.532
WLG,ZQN,155.364
AKL,WLG,116.402
TUO,AKL,53.966
WLG,AKL,116.402
WLG,AKL,116.402
NPE,AKL,79.376
AKL,NPE,79.376
NPE,AKL,79.376
PMR,AKL,90.992
WLG,AKL,116.402
WLG,AKL,116.402
AKL,WRE,34.848
AKL,WLG,116.402
AKL,TUO,53.966
WLG,AKL,116.402
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
AKL,CHC,180.532
IVC,WLG,186.34
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
WAG,AKL,80.102
PMR,AKL,90.992
WLG,AKL,116.402
WLG,CHC,73.81
WLG,AKL,116.402
NSN,CHC,60.742
WLG,NPE,65.582
WLG,AKL,116.402
AKL,WLG,116.402
WLG,ROT,90.508
AKL,TRG,34.848
AKL,WLG,116.402
ROT,AKL,43.802
AKL,WLG,116.402
WLG,AKL,116.402
CHC,IVC,112.53
WLG,HLZ,94.138
WLG,DUD,152.944
WLG,AKL,116.402
WLG,AKL,116.402
WLG,CHC,73.81
AKL,WLG,116.402
WLG,HLZ,94.138
WLG,CHC,73.81
WLG,CHC,73.81
AKL,WLG,116.402
AKL,WLG,116.402
NPE,WLG,65.582
WRE,AKL,34.848
WLG,NPE,65.582
WLG,GIS,96.8
WLG,AKL,116.402
AKL,WRE,34.848
WLG,AKL,116.402
AKL,WLG,116.402
AKL,PMR,90.992
NSN,WLG,32.186
WLG,CHC,73.81
WLG,AKL,116.402
AKL,WLG,116.402
CHC,AKL,180.532
WLG,AKL,116.402
DUD,AKL,257.246
WLG,AKL,116.402
WLG,CHC,73.81
WLG,CHC,73.81
WLG,AKL,116.402
WLG,AKL,116.402
NSN,CHC,60.742
AKL,WLG,116.402
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
WRE,AKL,34.848
WLG,AKL,116.402
GIS,WLG,96.8
NPL,WLG,62.92
WRE,AKL,34.848
WLG,NSN,32.186
WLG,TRG,102.608
AKL,WLG,116.402
HLZ,WLG,94.138
IVC,CHC,112.53
WLG,NPL,62.92
WLG,AKL,116.402
WLG,AKL,116.402
WLG,NPE,65.582
CHC,DUD,79.376
WLG,ROT,90.508
AKL,WRE,34.848
HLZ,WLG,94.138
AKL,WLG,116.402
WLG,NPL,62.92
WLG,TUO,74.536
WLG,NPL,62.92
WLG,AKL,116.402
NPE,WLG,65.582
WLG,CHC,73.81
WLG,ROT,90.508
WLG,AKL,116.402
GIS,WLG,96.8
WLG,CHC,73.81
GIS,WLG,96.8
AKL,WLG,116.402
WLG,TRG,102.608
WLG,CHC,73.81
ROT,WLG,90.508
WLG,AKL,116.402
WLG,CHC,73.81
AKL,CHC,180.532
CHC,WLG,73.81
AKL,CHC,180.532
NPL,AKL,55.902
WLG,TRG,102.608
WLG,ROT,90.508
WLG,AKL,116.402
CHC,WLG,73.81
NSN,WLG,32.186
CHC,HKK,36.784
WLG,AKL,116.402
WLG,AKL,116.402
WLG,CHC,73.81
WLG,HLZ,94.138
GIS,AKL,81.312
WLG,AKL,116.402
WLG,AKL,116.402
WLG,CHC,73.81
CHC,NPL,124.388
CHC,PMR,105.512
WLG,HLZ,94.138
WLG,ROT,90.508
AKL,PMR,90.992
AKL,CHC,180.532
TRG,WLG,102.608
WLG,NPL,62.92
CHC,IVC,112.53
WLG,AKL,116.402
WLG,NPE,65.582
NPE,WLG,65.582
WLG,NPE,65.582
NPE,WLG,65.582
WLG,AKL,116.402
NPE,WLG,65.582
WLG,AKL,116.402
WLG,AKL,116.402
WLG,AKL,116.402
TRG,WLG,102.608
WLG,AKL,116.402
WLG,AKL,116.402
NPE,WLG,65.582
WLG,AKL,116.402
AKL,WLG,116.402
AKL,WLG,116.402
NPE,WLG,65.582
WLG,BHE,19.844
WLG,CHC,73.81
WLG,AKL,116.402
PMR,CHC,105.512
CHC,IVC,112.53
WLG,AKL,116.402
WLG,AKL,116.402
AKL,WLG,116.402
AKL,WLG,116.402
GIS,WLG,96.8
WLG,CHC,73.81
WLG,NSN,32.186
AKL,WLG,116.402
NSN,WLG,32.186
HLZ,WLG,94.138
AKL,WLG,116.402
BHE,WLG,19.844
GIS,AKL,81.312
AKL,ROT,43.802
CHC,WLG,73.81
CHC,WLG,73.81
CHC,WLG,73.81
WLG,HLZ,94.138
WLG,NPL,62.92
WLG,DUD,152.944
AKL,WRE,34.848
WLG,NPL,62.92
CHC,WLG,73.81
WLG,NSN,32.186
WLG,AKL,116.402
WLG,HLZ,94.138
CHC,DUD,79.376
AKL,NPL,55.902
WLG,HLZ,94.138
CHC,WLG,73.81
WLG,CHC,73.81
WLG,AKL,116.402
WLG,AKL,116.402
WLG,AKL,116.402
WLG,TRG,102.608
AKL,TRG,34.848
WLG,AKL,116.402
AKL,WLG,116.402
GIS,AKL,81.312
WLG,AKL,116.402
AKL,WRE,34.848
AKL,WLG,116.402
AKL,WLG,116.402
WLG,AKL,116.402
WLG,ROT,90.508
NSN,WLG,32.186
AKL,WRE,34.848
AKL,WLG,116.402
NPE,WLG,65.582
WLG,ROT,90.508
WLG,AKL,116.402
DUD,CHC,79.376
WLG,AKL,116.402
CHC,AKL,180.532
NPL,AKL,55.902
CHC,AKL,180.532
WLG,CHC,73.81
CHC,AKL,180.532
WLG,TRG,102.608
AKL,WLG,116.402
WLG,CHC,73.81
WLG,AKL,116.402
WRE,AKL,34.848
AKL,WRE,34.848
WLG,BHE,19.844
NPE,CHC,139.392
AKL,WLG,116.402
PMR,AKL,90.992
AKL,CHC,180.532
WLG,AKL,116.402
CHC,AKL,180.532
AKL,WLG,116.402
WLG,CHC,73.81
WLG,AKL,116.402
DUD,WLG,152.944
WLG,TRG,102.608
TRG,AKL,34.848
AKL,WLG,116.402
AKL,WLG,116.402
CHC,WLG,73.81
AKL,WLG,116.402
AKL,WLG,116.402
AKL,WLG,116.402
WLG,NPE,65.582
AKL,WLG,116.402
IVC,WLG,186.34
AKL,WLG,116.402
AKL,WLG,116.402
TRG,AKL,34.848
WLG,NPE,65.582
ROT,WLG,90.508
AKL,WLG,116.402
CHC,DUD,79.376
WLG,GIS,96.8
CHC,WLG,73.81
WLG,CHC,73.81
AKL,GIS,81.312
CHC,WLG,73.81
CHC,WLG,73.81
AKL,PMR,90.992
AKL,WLG,116.402
AKL,KKE,50.578
CHC,WLG,73.81
HLZ,WLG,94.138
WLG,CHC,73.81
AKL,NPE,79.376
AKL,WLG,116.402
CHC,AKL,180.532
AKL,WLG,116.402
AKL,WLG,116.402
CHC,IVC,112.53
HLZ,WLG,94.138
KKE,AKL,50.578
WLG,NSN,32.186
WLG,AKL,116.402
AKL,CHC,180.532
CHC,AKL,180.532
CHC,WLG,73.81
CHC,WLG,73.81
WLG,GIS,96.8
AKL,CHC,180.532
AKL,WLG,116.402
KKE,AKL,50.578
WLG,AKL,116.402
CHC,WLG,73.81
WLG,DUD,152.944
AKL,WLG,116.402
AKL,WLG,116.402
CHC,WLG,73.81
HKK,CHC,36.784
NPL,WLG,62.92
AKL,CHC,180.532
HLZ,WLG,94.138
WLG,TRG,102.608
NPL,WLG,62.92
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
DUD,CHC,79.376
DUD,WLG,152.944
WLG,BHE,19.844
WRE,AKL,34.848
KKE,AKL,50.578
CHC,AKL,180.532
AKL,WLG,116.402
TRG,WLG,102.608
WLG,AKL,116.402
WLG,AKL,116.402
WLG,CHC,73.81
AKL,WLG,116.402
WLG,AKL,116.402
WLG,AKL,116.402
NPE,AKL,79.376
AKL,WLG,116.402
BHE,WLG,19.844
WLG,AKL,116.402
WLG,AKL,116.402
CHC,AKL,180.532
AKL,WLG,116.402
WLG,AKL,116.402
NPE,WLG,65.582
WLG,AKL,116.402
CHC,WLG,73.81
WLG,AKL,116.402
NSN,WLG,32.186
WRE,AKL,34.848
DUD,CHC,79.376
WLG,IVC,186.34
AKL,CHC,180.532
WLG,CHC,73.81
WLG,HLZ,94.138
TRG,WLG,102.608
WLG,AKL,116.402
WLG,NPE,65.582
AKL,WRE,34.848
AKL,CHC,180.532
AKL,WLG,116.402
AKL,WLG,116.402
DUD,WLG,152.944
WLG,NPE,65.582
WLG,NPL,62.92
AKL,WLG,116.402
NPE,WLG,65.582
NPE,WLG,65.582
WLG,AKL,116.402
AKL,GIS,81.312
CHC,WLG,73.81
WLG,TRG,102.608
AKL,WLG,116.402
ROT,AKL,43.802
HLZ,WLG,94.138
NPL,WLG,62.92
WLG,CHC,73.81
WLG,AKL,116.402
NPE,AKL,79.376
WLG,NPE,65.582
KKE,AKL,50.578
WLG,TRG,102.608
TRG,WLG,102.608
AKL,GIS,81.312
WLG,HLZ,94.138
AKL,WLG,116.402
AKL,WLG,116.402
WLG,ROT,90.508
CHC,WLG,73.81
WLG,NPE,65.582
NPL,WLG,62.92
TUO,WLG,74.536
AKL,WLG,116.402
AKL,CHC,180.532
WLG,DUD,152.944
AKL,WLG,116.402
WLG,GIS,96.8
KKE,AKL,50.578
AKL,WLG,116.402
KKE,AKL,50.578
WLG,DUD,152.944
CHC,WLG,73.81
AKL,WLG,116.402
WLG,AKL,116.402
NSN,WLG,32.186
WLG,AKL,116.402
BHE,WLG,19.844
AKL,KKE,50.578
NPE,WLG,65.582
WLG,AKL,116.402
AKL,KKE,50.578
WLG,AKL,116.402
WLG,AKL,116.402
WLG,ZQN,155.364
AKL,PMR,90.992
WLG,NSN,32.186
HLZ,WLG,94.138
AKL,ROT,43.802
WLG,HLZ,94.138
AKL,WLG,116.402
WLG,AKL,116.402
WLG,AKL,116.402
WLG,NPE,65.582
WLG,NSN,32.186
ROT,WLG,90.508
CHC,WLG,73.81
WLG,AKL,116.402
AKL,PMR,90.992
HLZ,WLG,94.138
AKL,WLG,116.402
AKL,WLG,116.402
AKL,WLG,116.402
AKL,WLG,116.402
ROT,AKL,43.802
WLG,DUD,152.944
AKL,KKE,50.578
AKL,WLG,116.402
PMR,AKL,90.992
ROT,AKL,43.802
AKL,WLG,116.402
WLG,AKL,116.402
WLG,CHC,73.81
WLG,AKL,116.402
CHC,WLG,73.81
PMR,AKL,90.992
AKL,WLG,116.402
WLG,NPE,65.582
WRE,AKL,34.848
AKL,WLG,116.402
AKL,WLG,116.402
WLG,AKL,116.402
AKL,KKE,50.578
ROT,WLG,90.508
WLG,AKL,116.402
CHC,WLG,73.81
WLG,GIS,96.8
DUD,WLG,152.944
WLG,AKL,116.402
NSN,WLG,32.186
WRE,AKL,34.848
NPE,WLG,65.582
AKL,WLG,116.402
ROT,WLG,90.508
ROT,WLG,90.508
AKL,WLG,116.402
CHC,WLG,73.81
AKL,WLG,116.402
AKL,KKE,50.578
AKL,KKE,50.578
AKL,WLG,116.402
CHC,NSN,60.742
CHC,NSN,60.742
AKL,WLG,116.402
WLG,AKL,116.402
AKL,WLG,116.402
NSN,WLG,32.186
WLG,AKL,116.402
ROT,WLG,90.508
AKL,WLG,116.402
AKL,KKE,50.578
PMR,AKL,90.992
DUD,WLG,152.944
AKL,WLG,116.402
TRG,WLG,102.608
AKL,WLG,116.402
KKE,AKL,50.578
NPL,WLG,62.92
DUD,WLG,152.944
HLZ,WLG,94.138
CHC,WLG,73.81
ROT,WLG,90.508
ROT,WLG,90.508
HKK,CHC,36.784
WLG,HLZ,94.138
GIS,WLG,96.8
IVC,WLG,186.34
WLG,AKL,116.402
CHC,DUD,79.376
WLG,NSN,32.186
WLG,HLZ,94.138
AKL,WLG,116.402
KKE,AKL,50.578
AKL,WLG,116.402
CHC,WLG,73.81
ROT,CHC,162.624
WLG,DUD,152.944
ZQN,WLG,155.364
AKL,WLG,116.402
ROT,WLG,90.508
WRE,AKL,34.848
AKL,WLG,116.402
ROT,CHC,162.624
PMR,AKL,90.992
ROT,WLG,90.508
HLZ,WLG,94.138
WRE,AKL,34.848
ROT,WLG,90.508
ROT,CHC,162.624
WLG,CHC,73.81
CHC,WLG,73.81
ROT,CHC,162.624
ROT,AKL,43.802
ROT,CHC,162.624
HLZ,WLG,94.138
CHC,AKL,180.532
PMR,AKL,90.992
AKL,WLG,116.402
AKL,CHC,180.532
WRE,AKL,34.848
CHC,AKL,180.532
WRE,AKL,34.848
WRE,AKL,34.848
AKL,WLG,116.402
WLG,TRG,102.608
WRE,AKL,34.848
WLG,CHC,73.81
AKL,WLG,116.402
WLG,HLZ,94.138
DUD,WLG,152.944
WLG,BHE,19.844
BHE,WLG,19.844
WLG,AKL,116.402
AKL,WLG,116.402
CHC,AKL,180.532
GIS,WLG,96.8
CHC,NSN,60.742
HLZ,WLG,94.138
WLG,AKL,116.402
AKL,WLG,116.402
CHC,AKL,180.532
WLG,AKL,116.402
AKL,WRE,34.848
CHC,AKL,180.532
HLZ,WLG,94.138
AKL,WLG,116.402
WLG,HLZ,94.138
AKL,WLG,116.402
WLG,AKL,116.402
AKL,WRE,34.848
AKL,WRE,34.848
CHC,HLZ,161.898
AKL,NPL,55.902
GIS,WLG,96.8
CHC,AKL,180.532
WLG,AKL,116.402
WLG,AKL,116.402
WLG,CHC,73.81
WLG,TRG,102.608
AKL,WRE,34.848
AKL,WLG,116.402
WLG,NPL,62.92
CHC,WLG,73.81
AKL,WLG,116.402
AKL,NPL,55.902
CHC,WLG,73.81
WLG,AKL,116.402
HLZ,CHC,161.898
AKL,WLG,116.402
AKL,WLG,116.402
HLZ,WLG,94.138
AKL,WRE,34.848
AKL,WRE,34.848
CHC,WLG,73.81
AKL,WRE,34.848
CHC,NPE,139.392
WLG,AKL,116.402
WLG,GIS,96.8
WLG,DUD,152.944
AKL,NPE,79.376
CHC,NPL,124.388
WLG,AKL,116.402
WLG,AKL,116.402
WLG,NPE,65.582
CHC,AKL,180.532
TRG,WLG,102.608
AKL,WLG,116.402
AKL,WLG,116.402
CHC,AKL,180.532
CHC,ROT,162.624
AKL,WLG,116.402
WLG,AKL,116.402
WLG,ROT,90.508
CHC,ROT,162.624
CHC,WLG,73.81
AKL,WLG,116.402
CHC,ROT,162.624
WLG,ROT,90.508
AKL,WLG,116.402
DUD,WLG,152.944
AKL,CHC,180.532
CHC,WLG,73.81
AKL,CHC,180.532
WLG,ROT,90.508
AKL,WLG,116.402
AKL,CHC,180.532
CHC,ROT,162.624
CHC,PMR,105.512
CHC,ROT,162.624
AKL,WLG,116.402
CHC,DUD,79.376
WLG,HLZ,94.138
AKL,WLG,116.402
AKL,NPL,55.902
AKL,WLG,116.402
NPL,WLG,62.92
DUD,CHC,79.376
WLG,ROT,90.508
AKL,WLG,116.402
WLG,AKL,116.402
WLG,AKL,116.402
WLG,AKL,116.402
NPL,AKL,55.902
AKL,WLG,116.402
CHC,WLG,73.81
WLG,AKL,116.402
WLG,AKL,116.402
WLG,AKL,116.402
AKL,ROT,43.802
AKL,WLG,116.402
WLG,AKL,116.402
WLG,TRG,102.608
AKL,CHC,180.532
NSN,WLG,32.186
CHC,AKL,180.532
CHC,DUD,79.376
AKL,WLG,116.402
WLG,BHE,19.844
WLG,AKL,116.402
WLG,HLZ,94.138
WLG,NSN,32.186
WLG,AKL,116.402
AKL,WLG,116.402
AKL,WLG,116.402
AKL,CHC,180.532
NPL,AKL,55.902
WLG,ROT,90.508
WLG,AKL,116.402
WLG,AKL,116.402
CHC,WLG,73.81
WLG,ROT,90.508
ROT,WLG,90.508
ZQN,AKL,248.05
WLG,DUD,152.944
AKL,WLG,116.402
ROT,WLG,90.508
ROT,WLG,90.508
WLG,CHC,73.81
NPE,AKL,79.376
HLZ,WLG,94.138
DUD,AKL,257.246
WLG,CHC,73.81
CHC,WLG,73.81
WLG,AKL,116.402
AKL,WLG,116.402
AKL,CHC,180.532
CHC,AKL,180.532
AKL,WLG,116.402
WLG,NPE,65.582
AKL,WLG,116.402
HLZ,WLG,94.138
DUD,WLG,152.944
CHC,WLG,73.81
AKL,NPL,55.902
CHC,WLG,73.81
ROT,WLG,90.508
NPE,WLG,65.582
HLZ,WLG,94.138
CHC,NSN,60.742
NPL,WLG,62.92
WLG,AKL,116.402
WLG,AKL,116.402
DUD,AKL,257.246
NPL,WLG,62.92
WLG,ROT,90.508
CHC,WLG,73.81
WLG,ROT,90.508
AKL,NPE,79.376
CHC,ZQN,83.974
WLG,AKL,116.402
DUD,CHC,79.376
CHC,WLG,73.81
WLG,DUD,152.944
WLG,AKL,116.402
CHC,WLG,73.81
AKL,WLG,116.402
AKL,CHC,180.532
NPE,AKL,79.376
NPL,AKL,55.902
KKE,AKL,50.578
HLZ,WLG,94.138
AKL,WLG,116.402
WLG,AKL,116.402
NPL,WLG,62.92
WLG,ROT,90.508
ZQN,WLG,155.364
AKL,KKE,50.578
WLG,ROT,90.508
ROT,WLG,90.508
NSN,CHC,60.742
AKL,NPL,55.902
WLG,ROT,90.508
AKL,WLG,116.402
WRE,AKL,34.848
ROT,WLG,90.508
WLG,GIS,96.8
AKL,WLG,116.402
NPL,CHC,124.388
CHC,WLG,73.81
WLG,AKL,116.402
TRG,WLG,102.608
WLG,CHC,73.81
WLG,HLZ,94.138
AKL,WRE,34.848
HLZ,WLG,94.138
CHC,WLG,73.81
WLG,AKL,116.402
ZQN,WLG,155.364
CHC,AKL,180.532
AKL,WLG,116.402
WLG,AKL,116.402
WLG,CHC,73.81
CHC,AKL,180.532
WLG,ROT,90.508
AKL,NPL,55.902
PMR,AKL,90.992
BHE,WLG,19.844
NPL,AKL,55.902
AKL,WLG,116.402
WRE,AKL,34.848
CHC,AKL,180.532
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
ROT,WLG,90.508
ZQN,CHC,83.974
ZQN,WLG,155.364
NPE,AKL,79.376
WLG,CHC,73.81
WLG,CHC,73.81
WLG,AKL,116.402
NSN,WLG,32.186
WLG,NSN,32.186
NSN,WLG,32.186
WLG,NSN,32.186
NSN,WLG,32.186
WLG,NSN,32.186
WLG,ROT,90.508
WLG,HLZ,94.138
WLG,AKL,116.402
CHC,NSN,60.742
AKL,WLG,116.402
WLG,AKL,116.402
WLG,AKL,116.402
AKL,WLG,116.402
WLG,ZQN,155.364
WLG,HLZ,94.138
CHC,WLG,73.81
WLG,ROT,90.508
ROT,WLG,90.508
CHC,IVC,112.53
AKL,ROT,43.802
NPL,WLG,62.92
WLG,NPE,65.582
WLG,AKL,116.402
AKL,WLG,116.402
AKL,WLG,116.402
WRE,AKL,34.848
WLG,AKL,116.402
AKL,ROT,43.802
WLG,AKL,116.402
WLG,CHC,73.81
WLG,CHC,73.81
AKL,NPE,79.376
AKL,WLG,116.402
AKL,WLG,116.402
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
ROT,AKL,43.802
WLG,NPE,65.582
WLG,AKL,116.402
WLG,ROT,90.508
WLG,ZQN,155.364
WLG,GIS,96.8
AKL,WLG,116.402
NPE,AKL,79.376
NPE,WLG,65.582
WLG,AKL,116.402
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
WLG,CHC,73.81
WLG,HLZ,94.138
AKL,WLG,116.402
AKL,ROT,43.802
AKL,WLG,116.402
NPL,WLG,62.92
TRG,CHC,173.272
WLG,AKL,116.402
ROT,AKL,43.802
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
AKL,NPE,79.376
AKL,WLG,116.402
WLG,AKL,116.402
WLG,AKL,116.402
WLG,CHC,73.81
CHC,WLG,73.81
WLG,AKL,116.402
WLG,HLZ,94.138
AKL,NPE,79.376
AKL,WRE,34.848
AKL,WLG,116.402
WLG,AKL,116.402
NPE,WLG,65.582
NPL,WLG,62.92
AKL,WRE,34.848
TRG,AKL,34.848
IVC,CHC,112.53
WLG,AKL,116.402
NPL,CHC,124.388
WLG,AKL,116.402
CHC,WLG,73.81
AKL,WLG,116.402
WLG,NPE,65.582
ROT,WLG,90.508
NPL,WLG,62.92
WLG,NPL,62.92
DUD,WLG,152.944
AKL,WLG,116.402
AKL,WLG,116.402
CHC,WLG,73.81
WLG,CHC,73.81
WLG,ZQN,155.364
AKL,WLG,116.402
NPL,WLG,62.92
AKL,ZQN,248.05
AKL,WLG,116.402
WRE,AKL,34.848
WLG,CHC,73.81
AKL,WLG,116.402
WLG,CHC,73.81
WLG,CHC,73.81
WLG,CHC,73.81
WLG,NPE,65.582
WLG,NPL,62.92
NSN,WLG,32.186
NPE,WLG,65.582
NPL,WLG,62.92
NSN,WLG,32.186
WLG,NSN,32.186
NPE,WLG,65.582
WLG,NSN,32.186
WLG,NPE,65.582
NPE,CHC,139.392
WLG,CHC,73.81
WLG,NPL,62.92
WLG,ROT,90.508
AKL,WLG,116.402
CHC,AKL,180.532
WLG,HLZ,94.138
AKL,WLG,116.402
AKL,WLG,116.402
WLG,CHC,73.81
CHC,WLG,73.81
WLG,NPL,62.92
WLG,ROT,90.508
ROT,WLG,90.508
AKL,CHC,180.532
CHC,IVC,112.53
GIS,WLG,96.8
WLG,CHC,73.81
WLG,NPL,62.92
AKL,CHC,180.532
AKL,NPL,55.902
WLG,AKL,116.402
NSN,CHC,60.742
WLG,AKL,116.402
WLG,AKL,116.402
AKL,WLG,116.402
WLG,AKL,116.402
AKL,TRG,34.848
GIS,AKL,81.312
WLG,ROT,90.508
ROT,WLG,90.508
WLG,DUD,152.944
NPE,AKL,79.376
HLZ,CHC,161.898
ROT,WLG,90.508
AKL,ROT,43.802
CHC,WLG,73.81
AKL,CHC,180.532
WLG,AKL,116.402
HLZ,WLG,94.138
TRG,WLG,102.608
WLG,AKL,116.402
AKL,NPL,55.902
CHC,WLG,73.81
NSN,CHC,60.742
AKL,CHC,180.532
AKL,WLG,116.402
WLG,AKL,116.402
WLG,HLZ,94.138
GIS,WLG,96.8
PMR,CHC,105.512
AKL,WLG,116.402
WLG,AKL,116.402
WLG,ROT,90.508
NSN,WLG,32.186
NPE,WLG,65.582
WLG,CHC,73.81
AKL,GIS,81.312
AKL,WLG,116.402
CHC,WLG,73.81
WLG,AKL,116.402
IVC,WLG,186.34
NPE,WLG,65.582
WLG,CHC,73.81
GIS,WLG,96.8
CHC,WLG,73.81
WLG,NSN,32.186
WLG,AKL,116.402
WLG,ROT,90.508
ZQN,WLG,155.364
AKL,PMR,90.992
AKL,GIS,81.312
NPL,AKL,55.902
WLG,ROT,90.508
WLG,DUD,152.944
CHC,WLG,73.81
NPE,WLG,65.582
NPE,WLG,65.582
WLG,AKL,116.402
WLG,AKL,116.402
AKL,WRE,34.848
WLG,AKL,116.402
WLG,CHC,73.81
CHT,WLG,187.308
TRG,AKL,34.848
CHC,DUD,79.376
WLG,CHC,73.81
AKL,PPQ,105.028
CHC,NSN,60.742
WLG,CHC,73.81
WLG,DUD,152.944
WLG,NSN,32.186
WLG,HLZ,94.138
PPQ,AKL,105.028
WLG,AKL,116.402
WLG,CHC,73.81
WLG,CHC,73.81
WLG,AKL,116.402
WLG,NPE,65.582
PMR,CHC,105.512
WLG,AKL,116.402
WLG,TRG,102.608
CHC,AKL,180.532
AKL,WLG,116.402
NPE,AKL,79.376
WLG,AKL,116.402
WLG,AKL,116.402
WLG,AKL,116.402
